date,sentiment
20100104,-10.0
20100105,-3.33333333333
20100106,-7.14285714286
20100107,-3.7037037037
20100108,-1.66666666667
20100111,-4.16666666667
20100112,-11.1111111111
20100113,-1.66666666667
20100114,0.0
20100115,-2.08333333333
20100119,-6.66666666667
20100120,-11.9047619048
20100121,-8.33333333333
20100122,-8.33333333333
20100125,2.38095238095
20100126,-1.66666666667
20100127,-10.0
20100128,-3.33333333333
20100129,-5.0
20100201,-6.66666666667
20100202,0.0
20100203,-2.77777777778
20100204,-10.0
20100205,-9.25925925926
20100208,-10.0
20100209,-10.0
20100210,-11.1111111111
20100211,-11.1111111111
20100212,-8.33333333333
20100216,-33.3333333333
20100217,-9.52380952381
20100218,-8.33333333333
20100219,-6.66666666667
20100222,0.0
20100223,-8.33333333333
20100224,-6.66666666667
20100225,-5.0
20100226,-3.33333333333
20100301,-16.6666666667
20100302,2.77777777778
20100303,-10.4166666667
20100304,5.0
20100305,0.0
20100308,0.0
20100309,0.0
20100310,-9.52380952381
20100311,-8.33333333333
20100312,-12.5
20100315,-3.7037037037
20100316,-5.55555555556
20100317,-5.55555555556
20100318,0.0
20100319,2.38095238095
20100322,-6.66666666667
20100323,-11.1111111111
20100324,4.7619047619
20100325,-10.0
20100326,-12.5
20100329,-11.1111111111
20100330,-5.55555555556
20100331,-4.16666666667
20100401,-3.33333333333
20100405,4.16666666667
20100406,8.33333333333
20100407,-6.25
20100408,-3.33333333333
20100409,-4.16666666667
20100412,-2.77777777778
20100413,2.77777777778
20100414,8.33333333333
20100415,-5.0
20100416,-6.25
20100419,-8.33333333333
20100420,-6.25
20100421,-8.33333333333
20100422,-11.6666666667
20100423,-12.962962963
20100426,-4.16666666667
20100427,-9.25925925926
20100428,-3.33333333333
20100429,-22.2222222222
20100430,-13.3333333333
20100503,-4.16666666667
20100504,-6.66666666667
20100505,-13.3333333333
20100506,-11.6666666667
20100507,2.08333333333
20100510,-8.33333333333
20100511,-9.52380952381
20100512,-3.33333333333
20100513,-8.33333333333
20100514,-16.6666666667
20100517,-12.5
20100518,-8.33333333333
20100519,1.66666666667
20100520,-11.1111111111
20100521,-4.16666666667
20100524,-12.5
20100525,-10.4166666667
20100526,-25.0
20100527,-6.66666666667
20100528,0.0
20100601,-4.16666666667
20100602,-3.33333333333
20100603,0.0
20100604,-5.0
20100607,-3.7037037037
20100608,-1.85185185185
20100609,-6.66666666667
20100610,-10.4166666667
20100611,-22.2222222222
20100614,-16.6666666667
20100615,-4.16666666667
20100616,3.7037037037
20100617,-14.5833333333
20100618,-9.25925925926
20100621,3.33333333333
20100622,-7.40740740741
20100623,-20.0
20100624,-9.25925925926
20100625,-1.85185185185
20100628,-4.16666666667
20100629,-3.33333333333
20100630,-8.33333333333
20100701,-7.14285714286
20100702,-20.3703703704
20100706,-11.1111111111
20100707,-3.7037037037
20100708,-2.38095238095
20100709,-10.0
20100712,-10.0
20100713,-4.7619047619
20100714,-6.25
20100715,-8.33333333333
20100716,-1.66666666667
20100719,-14.2857142857
20100720,-6.66666666667
20100721,-10.0
20100722,-10.4166666667
20100723,-5.55555555556
20100726,-13.3333333333
20100727,7.14285714286
20100728,-2.08333333333
20100729,-4.7619047619
20100730,-5.55555555556
20100802,-10.0
20100803,4.7619047619
20100804,-5.0
20100805,6.25
20100806,-11.6666666667
20100809,0.0
20100810,-1.66666666667
20100811,-1.66666666667
20100812,-15.0
20100813,-10.4166666667
20100816,5.55555555556
20100817,-8.881784197e-16
20100818,-8.33333333333
20100819,-4.16666666667
20100820,-13.8888888889
20100823,-4.16666666667
20100824,2.08333333333
20100825,-3.7037037037
20100826,0.0
20100827,-4.7619047619
20100830,-3.33333333333
20100831,-4.7619047619
20100901,-8.33333333333
20100902,-1.85185185185
20100903,-11.1111111111
20100907,-19.0476190476
20100908,1.85185185185
20100909,-9.25925925926
20100910,-14.5833333333
20100913,0.0
20100914,-5.55555555556
20100915,0.0
20100916,-7.40740740741
20100917,-12.962962963
20100920,-2.77777777778
20100921,-3.7037037037
20100922,-1.66666666667
20100923,-6.66666666667
20100924,-9.52380952381
20100927,0.0
20100928,-4.16666666667
20100929,-4.7619047619
20100930,-3.33333333333
20101001,-7.40740740741
20101004,-2.08333333333
20101005,-6.66666666667
20101006,-4.16666666667
20101007,-13.8888888889
20101008,1.85185185185
20101011,-18.3333333333
20101012,-3.33333333333
20101013,-10.0
20101014,5.0
20101015,2.38095238095
20101018,-16.6666666667
20101019,-5.55555555556
20101020,-10.0
20101021,-1.66666666667
20101022,0.0
