date,open,high,low,close,volume,close_1,result_1,perf_1,close_14,result_14,perf_14,bb_upper,bb_middle,bb_lower,bb_pct,bb_bandwidth,bb_squeeze,bb_signalup,bb_signaldn,bb_signal,ema50,ema150,ema200,ema_signal1,ema_signal2,kama50,kama150,kama200,kama_signal1,kama_signal2,sar,sar_signal,adx,plus_di,minus_di,adx_trend,adx_direction,adx_signal,aroon_osc,aroon_signal,cci,cci_signal,macd,macd_sigline,macd_hist,macd_signal,ppo,ppo_signal,mfi,mfi_signal,roc,roc_signal,rsi,rsi_signal,ult_osc,ult_signal,willr,wr_signal,ad_osc,ad_signal,stoch_slowk,stoch_slowd,sslow_signal,stoch_fastk,stoch_fastd,srsi_signal,trix,trix_signal,sr_pivotpts,sr_res1,sr_sup1,sr_res2,sr_sup2,sr_res3,sr_sup3,cv_signal
1/4/10,31.450001,32.299999,31.450001,32.200001,33100,32.380001,TRUE,0.005590062,30.73,FALSE,-0.045652204,32.54048783,31.43899995,30.33751207,0.845442318,7.007143212,TRUE,FALSE,FALSE,0,30.29816426,27.4348687,27.60206992,TRUE,TRUE,29.37266802,28.73815533,27.67364678,TRUE,TRUE,32.47240002,FALSE,9.555432236,26.09388938,24.25936596,FALSE,TRUE,0,80,TRUE,72.15317813,0,0.485628322,0.521969873,-0.036341551,FALSE,1.561330477,TRUE,65.01743821,0,3.904488545,0,59.54836923,0,54.78945002,0,-15.95740211,-1,7029.016545,TRUE,41.99510652,46.79002955,0,75.49547273,25.16515758,0,0.258993949,TRUE,31.98333367,35.43666633,31.46666733,35.95333267,28.01333467,39.40666533,27.49666833,TRUE
1/5/10,32.27,32.459999,32.02,32.380001,27800,32.529999,TRUE,0.004632427,30.969999,FALSE,-0.043545459,32.6659687,31.4945,30.3230313,0.877944797,7.439195418,TRUE,FALSE,FALSE,0,30.37980492,27.50036714,27.64961153,TRUE,TRUE,29.42432696,28.81223348,27.80723482,TRUE,TRUE,31.120001,TRUE,9.353236914,26.54312798,23.19817566,FALSE,TRUE,0,80,TRUE,119.2715832,0,0.505857038,0.518747306,-0.012890268,FALSE,1.560083464,TRUE,64.05282975,0,4.620355263,0,60.83483498,0,53.91592627,0,-6.382928927,-1,13826.4622,TRUE,57.67180355,45.82955076,0,86.3366402,53.94403764,-1,0.258159794,TRUE,32.28666667,36.04333233,32.07333333,36.25666567,28.31666767,40.01333133,28.10333433,TRUE
1/6/10,32.509998,32.66,32.48,32.529999,20900,33.200001,TRUE,0.020596435,30.84,FALSE,-0.051952015,32.80687911,31.55849995,30.31012079,0.88910416,7.911524072,TRUE,FALSE,FALSE,0,30.46412625,27.56698478,27.6981726,TRUE,TRUE,29.50071001,28.89823885,27.93009693,TRUE,TRUE,31.14680096,TRUE,9.44046075,27.84955987,22.52298074,FALSE,TRUE,0,100,TRUE,140.1909037,0,0.527906647,0.520579174,0.007327473,TRUE,1.630507461,TRUE,72.46361055,0,3.368287365,0,61.92160702,0,52.68977922,0,-6.372601163,-1,12394.65486,TRUE,87.94976284,62.53889097,-1,100,87.27737098,-1,0.257576271,TRUE,32.55666633,36.58333167,32.45333267,36.68666533,28.42666733,40.71333067,28.32333367,TRUE
1/7/10,32.450001,33.23,32.240002,33.200001,65600,34.02,TRUE,0.024698764,30.92,FALSE,-0.068674727,33.02446465,31.6975,30.37053535,1.066142059,8.372677029,TRUE,TRUE,FALSE,1,30.57141546,27.64159426,27.75291716,TRUE,TRUE,29.63063008,28.99636084,28.07537072,TRUE,TRUE,31.20732892,TRUE,10.23961324,30.81530111,20.27590319,FALSE,TRUE,0,100,TRUE,159.1943477,0,0.592613404,0.53498602,0.057627384,TRUE,1.812584862,TRUE,75.9325566,0,4.698839631,0,66.40574368,0,62.54341813,0,-1.149387414,-1,30289.8818,TRUE,94.72220267,80.11458968,-1,100,95.44554673,-1,0.257745701,TRUE,32.890001,37.250001,32.550002,37.59,28.190002,41.95,27.850003,TRUE
1/8/10,33.209999,34.09,33.119999,34.02,57100,34.540001,TRUE,0.015285156,30.07,FALSE,-0.116108172,33.4254956,31.87599995,30.3265043,1.191838037,9.722020627,FALSE,TRUE,FALSE,0,30.70665407,27.72607646,27.81527619,TRUE,TRUE,29.84064848,29.11697167,28.24601927,TRUE,TRUE,31.32868919,TRUE,11.85739894,36.32473185,18.34471052,FALSE,TRUE,0,80,TRUE,233.4657433,-1,0.701969178,0.568382651,0.133586526,TRUE,2.07225813,TRUE,82.42414395,-1,6.779657665,0,70.91937311,-1,68.3568789,0,-2.017291648,-1,50403.00356,TRUE,95.82836692,92.83344414,-1,100,100,-1,0.259201764,TRUE,33.743333,38.956665,33.396666,39.303332,28.183334,44.516664,27.836667,TRUE
1/11/10,34.400002,34.59,34.009998,34.540001,81500,33.889999,FALSE,-0.018818818,29.33,FALSE,-0.150839631,33.90041507,32.073,30.24558493,1.174997445,11.39534852,FALSE,TRUE,FALSE,0,30.8569814,27.81632712,27.88218888,TRUE,TRUE,30.18177711,29.25619503,28.41803909,TRUE,TRUE,31.54959405,TRUE,13.78235415,39.20729493,17.28461016,FALSE,TRUE,0,84,TRUE,222.9310521,-1,0.821128691,0.618931859,0.202196831,TRUE,2.350016221,TRUE,92.99285651,-1,7.601255925,0,73.36344751,-1,71.32181803,-1,-1.400532213,-1,75509.92747,TRUE,97.99374774,96.18143911,-1,100,100,-1,0.262081425,TRUE,34.37999967,40.22999833,34.16999933,40.43999867,28.32000067,46.28999733,28.11000033,TRUE
1/12/10,33.860001,34.169998,33.450001,33.889999,60000,34.23,TRUE,0.010032488,30.209999,FALSE,-0.108586607,34.14448239,32.21249995,30.28051751,0.934139311,11.99523442,FALSE,FALSE,FALSE,0,30.97592327,27.8967731,27.94196808,TRUE,TRUE,30.37747369,29.3648791,28.56827154,TRUE,TRUE,31.85363465,TRUE,14.61663076,35.1019551,20.85425743,FALSE,TRUE,0,84,TRUE,126.5721264,0,0.85327768,0.665801024,0.187476657,TRUE,2.444715075,TRUE,81.3735102,-1,5.774026037,0,65.90691618,0,72.444145,-1,-20.17294529,0,83158.81834,TRUE,88.53856517,94.12022661,-1,34.83101488,78.27700496,0,0.265401179,TRUE,33.836666,38.453333,33.083332,39.206667,28.466665,43.823334,27.713331,TRUE
1/13/10,34.07,34.41,33.540001,34.23,42300,34.220001,FALSE,-0.000292112,31.299999,FALSE,-0.085597458,34.44434154,32.3335,30.22265846,0.949228416,13.05668446,FALSE,FALSE,FALSE,0,31.10353412,27.9806569,28.00453556,TRUE,TRUE,30.69641238,29.48405576,28.74453929,TRUE,TRUE,32.12727118,TRUE,15.61752015,34.4813885,19.13228566,FALSE,TRUE,0,84,TRUE,116.3124451,0,0.89586426,0.711813671,0.184050589,TRUE,2.634867756,TRUE,82.21668572,-1,6.535944397,0,67.75318175,0,71.66381301,-1,-10.37464276,-1,86617.823,TRUE,84.31601657,90.28277649,-1,24.760381,53.19713196,0,0.26926422,TRUE,34.06000033,38.39000067,33.53000067,38.92000033,29.20000033,43.25000067,28.67000067,TRUE
1/14/10,34,34.310001,34,34.220001,38600,33.389999,FALSE,-0.024254879,31.059999,FALSE,-0.092343714,34.70085249,32.4595,30.21814751,0.892731845,13.81014798,FALSE,FALSE,FALSE,0,31.22574851,28.06329722,28.06638099,TRUE,TRUE,30.97408453,29.60098709,28.91242068,TRUE,TRUE,32.37354406,TRUE,16.54691744,33.42238413,18.54468826,FALSE,TRUE,0,84,TRUE,102.8058612,0,0.918222893,0.753095515,0.165127378,TRUE,2.835410902,TRUE,82.3267689,-1,7.037854458,0,67.63717736,0,71.38628352,-1,-10.66279846,-1,85308.9857,TRUE,76.57451773,83.14303316,0,23.20463902,27.5986783,0,0.273425259,TRUE,34.17666733,38.50333467,33.76333467,38.91666733,29.43666733,43.24333467,29.02333467,TRUE
1/15/10,33.950001,34.240002,33.200001,33.389999,51300,34.040001,TRUE,0.019466967,29.18,FALSE,-0.126085628,34.78987292,32.5475,30.30512708,0.687858807,13.77907929,FALSE,FALSE,FALSE,0,31.31062107,28.13384956,28.11935231,TRUE,TRUE,31.11246995,29.68556992,29.03844266,TRUE,TRUE,32.59518966,TRUE,16.11375902,30.08422403,24.37538662,FALSE,TRUE,0,84,TRUE,50.78403867,0,0.859065277,0.774289468,0.084775809,TRUE,2.796732837,TRUE,74.63717146,0,7.259878164,0,58.6590278,0,64.1633293,0,-34.58217135,0,66659.46756,TRUE,57.72659528,72.87237653,0,0,15.98834001,1,0.276934005,TRUE,33.61000067,37.37000133,32.63000133,38.35000067,28.87000067,42.11000133,27.89000133,TRUE
