date,open,high,low,close,volume,close_1,result_1,perf_1,close_14,result_14,perf_14,results,bb_upper,bb_middle,bb_lower,bb_pct,bb_bandwidth,bb_squeeze,bb_signalup,bb_signaldn,bb_signal,ema50,ema150,ema200,ema_signal1,ema_signal2,kama50,kama150,kama200,kama_signal1,kama_signal2,sar,sar_signal,adx,plus_di,minus_di,adx_trend,adx_direction,adx_signal,aroon_osc,aroon_signal,cci,cci_signal,macd,macd_sigline,macd_hist,macd_signal,ppo,ppo_signal,mfi,mfi_signal,roc,roc_signal,rsi,rsi_signal,ult_osc,ult_signal,willr,wr_signal,ad_osc,ad_signal,stoch_slowk,stoch_slowd,sslow_signal,stoch_fastk,stoch_fastd,srsi_signal,trix,trix_signal,sr_pivotpts,sr_res1,sr_sup1,sr_res2,sr_sup2,sr_res3,sr_sup3,cv_signal
2010-01-04,131.179993,132.970001,130.850006,132.449997,6155300.0,130.850006,False,-0.0120799625235,125.5,False,-0.05247260972,0.0,133.093698165,129.50849995,125.923301735,0.910227953082,5.53662225424,False,False,False,1.0,127.251460809,119.612359358,116.937449575,1,1,125.779273334,125.338419909,124.504345324,1,1,130.378799938,1,14.1209538497,23.4323698892,17.2062775176,False,True,0.0,96.0,1,102.46129412,0.0,1.43297096978,1.2369164305,0.19605453928,1,1.03936785389,1,71.7980503383,0.0,3.96388926273,0.0,63.904948664,0.0,66.0250153791,0.0,-8.71028329811,0.0,5518364.61847,1,72.0582539713,79.8999140863,0.0,49.3753808122,46.9279739519,1.0,0.123907313463,1,132.090001333,139.920000667,131.210001667,140.800000333,123.380002333,148.629999667,122.500002667,1
2010-01-05,131.679993,131.850006,130.100006,130.850006,6841400.0,130.0,False,-0.00649603332842,126.120003,False,-0.0361482826374,1.0,133.161799704,129.68850025,126.215200796,0.667204953868,5.35637230355,False,False,False,1.0,127.392580228,119.761202359,117.075882972,1,1,125.936407962,125.487664994,124.685682228,1,1,132.970001,0,13.5123824956,20.974194396,18.7492994254,False,True,0.0,96.0,1,39.5807127438,0.0,1.33903859718,1.25734086383,0.0816977333449,1,1.07004790626,1,63.6772543577,0.0,2.29849261829,0.0,56.2626962322,0.0,59.4773082387,0.0,-35.5107980719,0.0,4580119.53769,1,48.5204149727,64.9184884812,0.0,0.0,16.4584602707,1.0,0.124635179116,1,130.933339333,137.606676667,128.896677667,139.643338333,122.223340333,146.316675667,120.186678667,1
2010-01-06,130.679993,131.490005,129.809998,130.0,5605300.0,129.550003,False,-0.00346151538462,125.75,False,-0.0326923076923,1.0,133.091141489,129.8365002,126.581858911,0.525117944725,5.0134458093,False,False,False,1.0,127.494831984,119.896815573,117.204481152,1,1,126.100322095,125.606213934,124.808371559,1,1,132.970001,0,12.691518422,19.4067937001,18.6381766932,False,True,0.0,92.0,1,10.5903081684,0.0,1.18237841241,1.24234837355,-0.059969961138,0,1.10836002194,1,65.4714045205,0.0,1.04936343798,0.0,52.6597730199,0.0,53.2140987807,0.0,-49.7487521359,0.0,2399827.26374,1,36.479215531,52.3526281583,0.0,0.0,16.4584602707,1.0,0.124940496272,1,130.433334333,136.606666667,127.896667667,139.143333333,121.723335333,145.316665667,119.186668667,1
2010-01-07,129.869995,130.25,128.910004,129.550003,5840600.0,130.850006,True,0.010034758548,126.330002,False,-0.0248552753797,1.0,132.921782078,129.9740002,127.026218322,0.428081992234,4.53595622746,False,False,False,1.0,127.575426926,120.02467236,117.327322165,1,1,126.23472997,125.708049127,124.917655217,1,1,132.84360088,0,12.3824102813,18.2361999886,21.565190021,False,False,0.0,76.0,1,-37.3878118417,0.0,1.01026735697,1.19593217023,-0.185664813265,0,1.11781090127,1,57.6172718196,0.0,-0.292457492859,0.0,50.8049074468,0.0,49.4126451779,0.0,-57.2863890643,0.0,1206515.20659,1,15.9695664447,33.6563989828,1.0,0.0,-5.6132876125e-13,1.0,0.1247652682,1,129.570002333,134.880002667,126.170003667,138.280001333,120.860003333,143.590001667,117.460004667,0
2010-01-08,129.070007,130.919998,129.050003,130.850006,4197200.0,129.479996,False,-0.0104700797645,123.75,False,-0.0542606471107,0.0,132.974597973,130.09700055,127.219403127,0.630839262644,4.42377212502,False,False,False,1.0,127.703841791,120.168054263,117.461876233,1,1,126.429786651,125.843069523,125.06206333,1,1,132.607585067,0,11.5114015714,19.6984436861,19.772763368,False,False,0.0,76.0,1,-11.50578763,0.0,0.967613437664,1.15026842372,-0.182654986053,0,1.17200171448,1,64.4806675812,0.0,0.653850769231,0.0,55.663538346,0.0,56.5937193368,0.0,-35.5107980719,0.0,1844160.86277,1,23.1865284755,25.2117701504,1.0,37.0886687964,12.3628895988,1.0,0.124445556003,1,130.273335667,136.286669333,127.576670333,138.983334667,121.563336667,144.996668333,118.866671333,0
2010-01-11,131.059998,131.059998,128.669998,129.479996,5730400.0,130.509995,True,0.00795488903166,122.389999,False,-0.0547574700265,1.0,132.974871267,130.10400055,127.233129833,0.391321377464,4.41319360639,False,False,False,1.0,127.773494897,120.291391239,117.581459515,1,1,126.521684742,125.930064161,125.161055621,1,1,132.385730203,0,11.0166792823,17.6762599103,19.3751754962,False,False,0.0,76.0,1,-60.2233041776,0.0,0.81387964405,1.08299066778,-0.269111023734,0,1.07487707582,1,54.8731790766,0.0,-0.834809635876,0.0,50.0532117723,0.0,50.0183958696,0.0,-65.9736170182,0.0,1349935.92342,1,29.6728135855,22.9429695019,1.0,0.0,12.3628895988,1.0,0.123682081594,1,129.736664,135.213326,126.503327,138.446663,121.026665,143.923325,117.793328,0
2010-01-12,129.029999,131.330002,129.0,130.509995,8081500.0,130.229996,False,-0.00214542188895,124.669998,False,-0.0447475076526,1.0,133.014650255,130.14550065,127.276351045,0.563519578991,4.40914144729,False,False,False,1.0,127.880808627,120.426736985,117.710101659,1,1,126.636595699,126.041494877,125.310399848,1,1,132.088471627,0,10.3136899213,17.0839325997,17.4901183095,False,False,0.0,76.0,1,-35.827929383,0.0,0.766323120346,1.0196571583,-0.25333403795,0,1.01891179405,1,56.9134163419,0.0,-1.36044367562,0.0,53.8215865596,0.0,54.925786508,0.0,-57.2094019469,0.0,1786501.16471,1,46.1676218485,33.0089879699,1.0,67.1685460338,34.7524049434,1.0,0.122753065986,1,130.279999,135.64,127.589997,138.330002,122.229996,143.690003,119.539994,0
2010-01-13,130.389999,131.119995,129.160004,130.229996,6455400.0,132.309998,True,0.0159717581501,125.529999,False,-0.0360899726972,0.0,133.028123269,130.1605008,127.292878331,0.5121172157,4.40628677862,False,False,False,1.0,127.972933622,120.556581475,117.834677722,1,1,126.785108653,126.140746159,125.444827517,1,1,131.814993737,0,9.66091408609,15.700157941,16.0734431762,False,False,0.0,64.0,1,-48.8691790774,0.0,0.697994606101,0.955324647857,-0.257330041756,0,0.907868019336,1,48.9204753105,0.0,-1.22867647044,0.0,52.6584807932,0.0,52.5910793623,0.0,-63.7210020551,0.0,1991312.18798,1,49.7886609694,41.8763654678,1.0,46.4370297636,37.8685252658,1.0,0.121606001457,1,130.169998333,134.339996667,127.369995667,137.139999333,123.199997333,141.309997667,120.399994667,0
2010-01-14,130.550003,132.710007,129.910004,132.309998,7111800.0,131.779999,False,-0.0040057365884,125.660004,False,-0.0502607066777,0.0,133.257234704,130.35150045,127.445766196,0.837005620347,4.4583058031,False,False,False,1.0,128.143014578,120.712255866,117.978710759,1,1,127.067704074,126.293772271,125.630872232,1,1,128.669998,1,10.2032559964,20.2527236563,14.2924096963,False,True,0.0,64.0,1,61.6145195598,0.0,0.802432600854,0.924746238457,-0.122313637603,0,0.750519599065,1,50.9159945614,0.0,-0.196129581558,0.0,59.6366551577,0.0,59.1730658321,0.0,-15.3488962682,0.0,3510374.46264,1,71.3310736511,55.7624521564,1.0,100.0,71.2018585991,0.0,0.120707263097,1,131.643336333,137.286672667,130.316671667,138.613337333,124.673335333,144.256673667,123.346670667,0
2010-01-15,132.029999,132.889999,131.089996,131.779999,8494400.0,134.139999,True,0.0179086357407,123.0,False,-0.066626188091,0.0,133.371751613,130.50500005,127.638248487,0.722376952135,4.39332065655,False,False,False,1.0,128.285641418,120.85884849,118.116037011,1,1,127.277203959,126.435276619,125.790607661,1,1,128.75079818,1,10.8352512437,19.5222208951,13.2741265984,False,True,0.0,64.0,1,72.7236026917,0.0,0.832833587047,0.906363708175,-0.0735301211281,0,0.597798668966,1,53.480298999,0.0,0.672272758087,0.0,57.3182541272,0.0,60.0326615732,0.0,-27.6744458085,0.0,3182044.78558,1,74.1473170155,65.089017212,1.0,75.808267058,74.0817656072,0.0,0.119874465605,1,131.919998,137.839996,130.869995,138.889999,124.949997,144.809997,123.899994,0
