,0,1
0,20100108,99.9719603692
1,20120405,-57.750427609
2,20120404,-99.5166952523
3,20120403,-99.9784128312
4,20120402,60.6333373658
5,20121121,-75.8696619601
6,20100104,99.9778870095
7,20100105,-99.9918527358
8,20100106,99.9887551786
9,20100107,99.9937993271
10,20100210,-99.9915696466
11,20130107,53.9423724264
12,20100212,97.2797577407
13,20100604,99.9999360275
14,20110531,99.9999697535
15,20111003,-96.0421646786
16,20120705,96.4971010699
17,20120706,99.5281858583
18,20111007,99.7089734643
19,20111006,99.9955184201
20,20111005,99.9975733376
21,20100602,99.9999337479
22,20100216,-99.9995419453
23,20120531,99.9762414273
24,20100217,-99.9995638289
25,20130222,95.1048967535
26,20120124,99.963647532
27,20120125,99.9995207738
28,20120126,-86.4510745148
29,20120127,-99.9875860358
30,20120120,99.9960812319
31,20120409,-95.0926095149
32,20120123,99.9939967583
33,20121226,-99.9796768293
34,20110321,-99.9190429842
35,20110323,-99.9966986624
36,20110322,-99.987498041
37,20110325,-99.9999993147
38,20110324,-99.9993789008
39,20110329,-99.9999994503
40,20110328,-99.9997662392
41,20120830,-91.429892826
42,20120831,-51.4894264179
43,20111202,99.9998620874
44,20120725,-93.5176237494
45,20101231,-99.9958053964
46,20121206,92.8692673421
47,20121207,-57.760031756
48,20121204,99.5300965252
49,20101230,-99.9998145235
50,20120313,-98.0285337668
51,20110929,-99.9426050258
52,20110928,-85.3843686913
53,20110923,99.9996663585
54,20110922,99.9994243068
55,20110921,99.9999559613
56,20110920,99.9871046536
57,20110927,-99.7515280692
58,20110926,99.9954083571
59,20100927,-99.9679722547
60,20100924,99.999847904
61,20110825,-99.6617683125
62,20100922,-99.9998446136
63,20100923,99.9986206269
64,20100519,99.9871118837
65,20100518,-96.6723178692
66,20100517,-99.9924223638
67,20121228,96.1044793801
68,20100514,-99.9094962707
69,20100513,-99.9952826966
70,20100512,-99.9960587336
71,20100928,-99.9546467152
72,20100929,-99.9988109213
73,20120709,99.067509054
74,20100331,99.9140038802
75,20100330,99.9999868003
76,20121210,89.6368485345
77,20121119,-75.7767752195
78,20120730,58.5838656093
79,20121114,-66.6913355618
80,20121115,96.6367706018
81,20121112,-98.2655212151
82,20121113,-93.2235877995
83,20110215,-99.9999994643
84,20110214,-99.9919770088
85,20110217,-98.9820310675
86,20110216,-99.999389539
87,20110211,-99.8949712449
88,20110210,-99.9874539963
89,20120904,98.2385003725
90,20120905,98.7260851095
91,20100630,-99.0872770859
92,20110218,-97.0270318549
93,20130318,97.7694624358
94,20130319,-99.9954117349
95,20100203,99.9707721996
96,20101216,-99.9999995243
97,20100201,-99.331627527
98,20101214,99.9991260592
99,20101213,99.9444080182
100,20100205,-99.999948245
101,20100204,-99.998607956
102,20100209,-99.9650873369
103,20100208,-99.9956231039
104,20100824,99.9991745537
105,20120223,99.9396476382
106,20120222,91.9515548911
107,20120221,88.1390970511
108,20120227,-92.503728116
109,20110103,-99.9746095857
110,20110105,-99.9999902504
111,20110104,-99.831391143
112,20110107,-99.9378946658
113,20110106,-97.9924017766
114,20100708,99.9997537585
115,20100709,-97.7477618209
116,20100706,98.6436576878
117,20100707,99.9959026799
118,20120625,-98.0553914941
119,20100702,99.9996212621
120,20120622,-81.026721049
121,20120621,-58.5112671708
122,20100701,99.9998855429
123,20111102,99.9485523033
124,20111103,99.9684384018
125,20101130,99.8604274786
126,20111101,-99.9968191595
127,20120731,-94.8975363793
128,20121221,-92.283814435
129,20111107,99.8814882297
130,20111104,99.9999904335
131,20110404,-77.6700042368
132,20110405,-99.9999940707
133,20110406,-99.96563118
134,20110407,-99.9999986716
135,20110401,99.9999647722
136,20111004,-99.9293069861
137,20110408,-99.9995828168
138,20111108,99.9970394535
139,20130312,-99.9418905834
140,20100809,-99.9564746911
141,20121001,99.0696410511
142,20100803,-99.9988058554
143,20100802,-99.9236137723
144,20100805,-83.6355552217
145,20100804,-99.9316857026
146,20100806,-99.9989470042
147,20100412,-99.9999091421
148,20100413,99.9836398132
149,20101004,-99.9996727246
150,20101005,-99.5705133308
151,20100416,68.5080142063
152,20100414,99.9621147349
153,20100415,99.9999997398
154,20100419,-99.9999992996
155,20101008,98.8787481571
156,20130131,-96.0281508221
157,20110318,-99.9879904979
158,20110310,99.9038634947
159,20110311,99.9909302693
160,20110314,99.9998265024
161,20110315,99.9806665825
162,20110316,99.9994761799
163,20110317,-94.622005718
164,20101006,-93.1120665926
165,20120530,98.9316694048
166,20101007,99.7960047092
167,20120702,-98.1544815828
168,20120308,89.7109622402
169,20120309,-99.7405781717
170,20110819,-99.9997122491
171,20110818,-99.9944141915
172,20130311,-98.2814708382
