,date,sentiment
246,20101110,0.7
247,20101111,0.666666666667
248,20101112,0.5
243,20101115,0.5
244,20101116,0.4
245,20101117,0.8
241,20101118,0.5
242,20101119,0.5
568,20101122,0.5
567,20101123,0.5
565,20101124,0.5
566,20101126,0.5
569,20101129,0.3
466,20101130,0.5
700,20101201,0.5
701,20101202,0.5
702,20101203,0.35
698,20101206,0.5
699,20101207,0.5
704,20101208,0.5
1173,20101209,0.5
824,20101210,0.6
823,20101213,0.5
822,20101214,0.5
821,20101215,0.45
820,20101216,0.633333333333
819,20101217,0.5
924,20101220,0.5
925,20101221,0.5
922,20101222,0.5
923,20101223,0.5
926,20101227,0.5
920,20101228,0.2
921,20101229,0.5
1041,20101230,0.5
1040,20101231,0.5
445,20110103,0.5
1112,20110104,0.4
1107,20110105,0.5
1114,20110106,0.5
448,20110107,0.4
602,20110110,0.5
350,20110111,0.5
347,20110112,0.5
348,20110113,0.6
346,20110114,0.8
351,20110118,0.5
352,20110119,0.45
1343,20110120,0.5
220,20110121,0.5
225,20110124,0.5
224,20110125,0.65
694,20110126,0.5
222,20110127,0.7
227,20110128,0.666666666667
109,20110131,0.5
392,20110201,0.5
332,20110202,0.5
389,20110203,0.5
403,20110204,0.6
402,20110207,0.6
407,20110208,0.5
408,20110209,0.5
435,20110210,0.566666666667
434,20110211,0.3
431,20110214,0.6
430,20110215,0.5
433,20110216,0.8
432,20110217,0.5
436,20110218,0.5
92,20110222,0.5
93,20110223,0.5
88,20110224,0.5
89,20110225,-0.1
611,20110228,0.7
1316,20110301,0.9
1315,20110302,0.5
1314,20110303,0.7
1321,20110304,0.5
1318,20110307,0.35
1311,20110308,0.5
1310,20110309,0.5
1218,20110310,0.5
1219,20110311,0.5
1222,20110314,0.6
1223,20110315,0.5
1224,20110316,0.5
1225,20110317,0.5
1217,20110318,0.5
10,20110321,0.566666666667
13,20110322,0.566666666667
12,20110323,0.45
15,20110324,0.5
14,20110325,0.55
17,20110328,0.5
16,20110329,0.35
1431,20110330,0.7
1432,20110331,0.5
1209,20110401,0.5
1205,20110404,0.5
1206,20110405,0.4
1207,20110406,0.5
1208,20110407,0.5
1210,20110408,0.7
1304,20110411,0.6
1303,20110412,0.5
