,date,sentiment
15,20110324,0.5
14,20110325,0.55
17,20110328,0.5
16,20110329,0.35
1434,20110330,0.7
1435,20110331,0.5
1212,20110401,0.5
1208,20110404,0.5
1209,20110405,0.4
1210,20110406,0.5
1211,20110407,0.5
1213,20110408,0.7
1307,20110411,0.6
1306,20110412,0.5
1305,20110413,0.5
1304,20110414,0.75
1303,20110415,0.55
1309,20110418,0.5
1308,20110419,0.5
1410,20110420,0.3
1411,20110421,0.5
1415,20110425,0.5
1412,20110426,0.5
1413,20110427,0.5
1405,20110428,0.5
930,20110429,0.5
483,20110502,0.3
482,20110503,0.5
1052,20110504,0.4
470,20110505,0.5
479,20110506,0.5
1094,20110509,0.4
980,20110510,0.5
981,20110511,0.4
978,20110512,0.4
979,20110513,0.2
982,20110516,0.766666666667
983,20110517,0.5
976,20110518,0.5
977,20110519,0.5
878,20110520,0.5
875,20110523,0.7
874,20110524,0.5
873,20110525,0.7
1312,20110526,0.5
871,20110527,0.4
779,20110531,0.5
952,20110601,0.5
726,20110602,0.5
951,20110603,0.5
948,20110606,0.6
949,20110607,0.5
959,20110608,0.5
960,20110609,0.45
1074,20110610,0.4
1075,20110613,0.5
1077,20110614,0.5
1076,20110615,0.9
1079,20110616,0.5
1078,20110617,0.5
748,20110620,0.5
749,20110621,0.5
750,20110622,0.5
751,20110623,0.4
752,20110624,0.6
753,20110627,0.7
754,20110628,0.5
755,20110629,0.5
854,20110630,0.5
847,20110701,0.5
846,20110705,0.3
845,20110706,0.4
844,20110707,0.5
843,20110708,0.5
743,20110711,1.1
744,20110712,0.5
745,20110713,0.6
741,20110714,0.5
742,20110715,0.5
739,20110718,0.35
740,20110719,0.5
1060,20110720,0.5
1059,20110721,0.7
1061,20110722,0.2
1056,20110725,0.5
301,20110726,0.5
1057,20110727,0.5
1063,20110728,0.6
1062,20110729,0.7
384,20110801,0.5
385,20110802,0.5
386,20110803,0.5
387,20110804,0.7
388,20110805,0.5
382,20110808,0.8
383,20110809,0.5
507,20110810,0.5
506,20110811,0.5
505,20110812,0.5
510,20110815,0.433333333333
509,20110816,-0.1
508,20110817,0.9
504,20110818,0.45
503,20110819,0.4
610,20110822,0.4
611,20110823,0.5
608,20110824,0.5
609,20110825,0.5
607,20110826,0.5
606,20110829,0.5
696,20110830,0.5
695,20110831,0.6
262,20110901,0.4
263,20110902,-0.2
265,20110906,0.6
264,20110907,0.5
267,20110908,0.3
266,20110909,0.5
148,20110912,0.5
149,20110913,0.5
146,20110914,0.5
147,20110915,0.5
144,20110916,0.5
143,20110919,0.5
31,20110920,0.5
30,20110921,0.5
29,20110922,0.5
28,20110923,0.5
33,20110926,0.5
32,20110927,0.5
27,20110928,0.5
26,20110929,0.5
1053,20110930,0.6
782,20111003,0.4
788,20111004,0.5
787,20111005,0.5
786,20111006,0.25
785,20111007,0.6
659,20111010,0.4
660,20111011,0.5
661,20111012,0.5
662,20111013,0.5
663,20111014,0.7
664,20111017,0.5
657,20111018,0.6
658,20111019,0.5
985,20111020,0.5
984,20111021,0.233333333333
1351,20111024,0.333333333333
1350,20111025,0.5
1354,20111026,0.5
1352,20111027,0.5
992,20111028,0.3
885,20111031,0.5
1267,20111101,0.5
1265,20111102,0.5
1266,20111103,0.5
1269,20111104,0.5
1268,20111107,0.5
1270,20111108,0.5
1271,20111109,0.7
1377,20111110,0.5
1376,20111111,0.1
1373,20111114,0.466666666667
1372,20111115,0.5
1375,20111116,0.5
1374,20111117,0.5
1379,20111118,0.5
1071,20111121,0.15
1072,20111122,0.5
1073,20111123,0.5
1070,20111125,0.4
1066,20111128,0.5
1067,20111129,0.5
940,20111130,0.3
1382,20111201,0.5
1383,20111202,0.5
1384,20111205,0.7
1386,20111206,0.5
1385,20111207,0.5
1381,20111208,0.6
1380,20111209,0.5
1293,20111212,0.5
1294,20111213,0.5
1291,20111214,0.5
1292,20111215,0.5
1290,20111216,0.5
1295,20111219,0.5
1198,20111220,0.5
1197,20111221,0.2
1196,20111222,0.5
1195,20111223,0.5
1199,20111227,0.5
1201,20111228,0.5
1200,20111229,0.5
1087,20111230,0.4
998,20120103,0.5
1000,20120104,0.7
1001,20120105,0.5
999,20120106,0.5
997,20120109,0.5
1113,20120110,0.5
1112,20120111,0.7
527,20120112,0.5
1114,20120113,0.5
1111,20120117,0.5
1109,20120118,0.5
1108,20120119,0.5
801,20120120,0.4
802,20120123,0.3
797,20120124,0.5
798,20120125,0.4
799,20120126,0.3
800,20120127,0.266666666667
888,20120130,0.5
887,20120131,0.2
1141,20120201,0.5
1143,20120202,0.5
1142,20120203,0.1
1145,20120206,0.5
1144,20120207,0.5
1147,20120208,0.5
1146,20120209,0.5
1026,20120210,0.5
1025,20120213,0.5
1023,20120214,0.5
1024,20120215,0.7
1021,20120216,0.5
1022,20120217,0.6
913,20120221,0.5
912,20120222,0.5
911,20120223,0.5
915,20120224,0.8
914,20120227,0.55
910,20120228,0.75
909,20120229,0.5
1239,20120301,0.5
1240,20120302,0.6
1241,20120305,0.5
1242,20120306,0.5
1243,20120307,0.5
1237,20120308,0.4
1238,20120309,0.5
1336,20120312,0.5
1335,20120313,0.5
1340,20120314,0.5
1339,20120315,0.5
1338,20120316,-0.1
420,20120319,0.5
1444,20120320,0.5
1445,20120321,0.5
1442,20120322,0.5
1443,20120323,0.5
1440,20120326,0.5
1441,20120327,0.425
1051,20120328,0.5
1439,20120329,0.5
25,20120330,0.5
3,20120402,0.5
2,20120403,0.5
1,20120404,0.5
0,20120405,0.2
4,20120409,0.466666666667
1397,20120410,0.6
1398,20120411,0.45
1399,20120412,0.6
1400,20120413,0.1
1395,20120416,0.433333333333
1396,20120417,0.6
1401,20120418,0.8
1402,20120419,0.5
260,20120420,0.5
261,20120423,0.5
257,20120424,0.5
256,20120425,0.6
259,20120426,0.4
258,20120427,0.5
132,20120430,0.5
123,20120501,0.5
121,20120502,0.5
122,20120503,0.5
120,20120504,0.3
119,20120507,0.5
116,20120508,1.1
117,20120509,0.55
229,20120510,0.3
228,20120511,0.3
233,20120514,0.5
232,20120515,0.5
235,20120516,0.5
234,20120517,0.3
1370,20120518,0.5
1422,20120521,0.7
1423,20120522,0.7
1424,20120523,0.633333333333
1425,20120524,0.5
1426,20120525,0.5
939,20120529,0.5
8,20120530,0.5
7,20120531,0.5
649,20120601,0.5
646,20120604,0.0
645,20120605,0.5
648,20120606,0.5
647,20120607,0.75
655,20120608,0.5
221,20120611,0.1
555,20120612,0.4
556,20120613,0.5
559,20120614,0.5
560,20120615,0.5
563,20120618,0.5
250,20120619,0.5
460,20120620,0.5
459,20120621,0.5
458,20120622,0.5
457,20120625,0.4
456,20120626,0.5
455,20120627,0.5
454,20120628,0.2
453,20120629,0.4
61,20120702,0.5
62,20120703,0.5
783,20120705,0.5
784,20120706,0.5
46,20120709,0.5
714,20120710,0.5
884,20120711,0.5
883,20120712,0.5
882,20120713,0.5
880,20120716,0.5
879,20120717,0.7
711,20120718,0.5
877,20120719,0.55
986,20120720,0.5
554,20120723,0.65
756,20120724,0.5
990,20120725,0.9
987,20120726,0.5
988,20120727,0.4
1105,20120730,0.5
1104,20120731,0.5
690,20120801,0.5
1039,20120802,0.5
1038,20120803,0.5
692,20120806,0.5
691,20120807,0.5
1030,20120808,0.5
1029,20120809,0.5
598,20120810,0.5
599,20120813,0.5
600,20120814,0.5
601,20120815,0.5
602,20120816,0.5
408,20120817,0.5
896,20120820,0.1
895,20120821,0.6
898,20120822,0.4
897,20120823,0.5
899,20120824,0.5
900,20120827,0.5
903,20120828,0.5
902,20120829,0.5
152,20120830,0.5
819,20120831,0.5
1190,20120904,0.7
1191,20120905,0.5
820,20120906,0.5
821,20120907,0.5
150,20120910,0.5
145,20120911,0.5
1283,20120912,0.5
1282,20120913,0.5
1278,20120914,0.5
1279,20120917,0.5
1287,20120918,0.5
1286,20120919,0.5
957,20120920,0.3
958,20120921,0.5
953,20120924,0.5
954,20120925,0.3
955,20120926,0.7
956,20120927,0.5
950,20120928,0.5
287,20121001,0.5
63,20121002,0.5
66,20121003,0.5
71,20121004,0.35
291,20121005,0.5
283,20121008,0.5
284,20121009,0.5
400,20121010,0.65
399,20121011,0.5
398,20121012,0.6
723,20121015,0.4
402,20121016,0.7
401,20121017,0.5
1416,20121018,0.5
712,20121019,0.5
522,20121022,0.5
523,20121023,0.5
520,20121024,0.5
521,20121025,0.8
519,20121026,0.5
612,20121031,0.5
161,20121101,0.5
162,20121102,0.5
163,20121105,0.5
165,20121106,0.5
164,20121107,0.6
167,20121108,0.5
166,20121109,0.5
38,20121112,0.5
39,20121113,0.5
36,20121114,0.1
37,20121115,0.5
35,20121116,0.5
34,20121119,0.5
1454,20121120,0.7
1453,20121121,0.5
1451,20121123,0.5
1159,20121126,0.5
1158,20121127,0.5
1448,20121128,0.0
1447,20121129,0.4
1357,20121130,0.5
20,20121203,0.533333333333
23,20121204,0.5
24,20121205,0.5
21,20121206,0.5
22,20121207,0.4
140,20121210,0.55
139,20121211,0.5
142,20121212,0.5
141,20121213,0.5
137,20121214,0.5
138,20121217,0.7
136,20121218,0.5
135,20121219,0.5
1333,20121220,0.5
1334,20121221,0.5
1330,20121224,0.4
1331,20121226,0.5
1332,20121227,0.5
1337,20121228,0.5
1438,20121231,0.5
734,20130102,0.5
733,20130103,0.5
737,20130104,0.5
735,20130107,0.6
728,20130108,0.5
727,20130109,0.5
628,20130110,0.5
629,20130111,0.5
630,20130114,0.6
631,20130115,-0.4
632,20130116,0.5
633,20130117,0.4
622,20130118,0.4
934,20130122,0.7
933,20130123,0.4
936,20130124,0.5
935,20130125,0.5
938,20130128,0.5
937,20130129,0.5
841,20130130,0.5
842,20130131,0.5
1387,20130201,0.2
1388,20130204,0.5
1389,20130205,0.5
1390,20130206,0.8
1391,20130207,0.5
1392,20130208,0.2
1483,20130211,0.5
1482,20130212,0.4
1481,20130213,0.5
1488,20130214,0.35
1487,20130215,0.5
1489,20130219,0.4
86,20130220,0.5
87,20130221,0.5
84,20130222,0.5
83,20130225,0.7
81,20130226,0.5
82,20130227,0.4
620,20130228,0.5
1273,20130301,0.5
1275,20130304,0.6
1274,20130305,0.6
